tenant_id,client_id,rows_before,rows_after,debit_before,debit_after,credit_before,credit_after,net_before,net_after,stored_balance_before,stored_balance_after,final_calculated_balance,difference
348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,15,15,3330.00,3330.00,-560.00,-560.00,2770.00,2770.00,2770.00,2770.00,2770.00,0.0
348ce41c-1102-4295-bf6a-2ea0203c1036,3e1f790b-ea8d-47dd-ac30-0f80b6415786,5,5,522.00,522.00,-150.00,-150.00,372.00,372.00,372.00,372.00,372.00,0.0
348ce41c-1102-4295-bf6a-2ea0203c1036,4461804b-d110-4e18-a5a3-bbc039f5b9f9,14,14,2175.00,2175.00,-1270.00,-1270.00,905.00,905.00,905.00,905.00,905.00,0.0
348ce41c-1102-4295-bf6a-2ea0203c1036,a0705f81-ec7c-4ccd-881b-42395cd4bf1d,6,6,225.00,225.00,-225.00,-225.00,0.00,0.00,0.00,0.00,0.00,0.0
8951ac1a-2940-4e93-9a62-95e47f110cba,a279407b-55ec-478b-b8ba-de4459df986f,4,4,2619.35,2619.35,-950.00,-950.00,1669.35,1669.35,1669.35,1669.35,1669.35,0.0
348ce41c-1102-4295-bf6a-2ea0203c1036,a3165b28-7b3e-414d-adae-944673e482a7,6,6,300.00,300.00,-300.00,-300.00,0.00,0.00,0.00,0.00,0.00,0.0
145f2128-83ca-4ba8-85b5-8ade245c5530,f225ffb7-2eb1-4346-a949-882992d6f630,37,37,166872.58,166872.58,-34887.58,-34887.58,131985.00,131985.00,131985.00,131985.00,131985.00,0.0
